;faa;name;lat;lon;alt;tz;dst;tzone
0;04G;Lansdowne Airport;41,1304722;-80,6195833;1044;-5;A;America/New_York
1;06A;Moton Field Municipal Airport;32,4605722;-85,6800278;264;-6;A;America/Chicago
2;06C;Schaumburg Regional;41,9893408;-88,1012428;801;-6;A;America/Chicago
3;06N;Randall Airport;41,431912;-74,3915611;523;-5;A;America/New_York
4;09J;Jekyll Island Airport;31,0744722;-81,4277778;11;-5;A;America/New_York
5;0A9;Elizabethton Municipal Airport;36,3712222;-82,1734167;1593;-5;A;America/New_York
6;0G6;Williams County Airport;41,4673056;-84,5067778;730;-5;A;America/New_York
7;0G7;Finger Lakes Regional Airport;42,8835647;-76,7812318;492;-5;A;America/New_York
8;0P2;Shoestring Aviation Airfield;39,7948244;-76,6471914;1000;-5;U;America/New_York
9;0S9;Jefferson County Intl;48,0538086;-122,8106436;108;-8;A;America/Los_Angeles
10;0W3;Harford County Airport;39,5668378;-76,2024028;409;-5;A;America/New_York
11;10C;Galt Field Airport;42,4028889;-88,3751111;875;-6;U;America/Chicago
12;17G;Port Bucyrus-Crawford County Airport;40,7815556;-82,9748056;1003;-5;A;America/New_York
13;19A;Jackson County Airport;34,1758638;-83,5615972;951;-5;U;America/New_York
14;1A3;Martin Campbell Field Airport;35,0158056;-84,3468333;1789;-5;A;America/New_York
15;1B9;Mansfield Municipal;42,0001331;-71,1967714;122;-5;A;America/New_York
16;1C9;Frazier Lake Airpark;54,01333333;-124,7683333;152;-8;A;America/Vancouver
17;1CS;Clow International Airport;41,6959744;-88,1292306;670;-6;U;America/Chicago
18;1G3;Kent State Airport;41,1513889;-81,4151111;1134;-5;A;America/New_York
19;1G4;Grand Canyon West Airport;35,899904;-113,815674;4813;-7;A;America/Phoenix
20;1H2;Effingham Memorial Airport;39,07;-88,534;585;-6;A;America/Chicago
21;1OH;Fortman Airport;40,5553253;-84,3866186;885;-5;U;America/New_York
22;1RL;Point Roberts Airpark;48,9797222;-123,0788889;10;-8;A;America/Los_Angeles
23;23M;Clarke CO;32,0517;-88,4434;320;-6;A;America/Chicago
24;24C;Lowell City Airport;42,95392;-85,3439058;681;-5;A;America/New_York
25;24J;Suwannee County Airport;30,300125;-83,0246944;104;-5;A;America/New_York
26;25D;Forest Lake Airport;45,2477456;-92,9943853;925;-6;A;America/Chicago
27;29D;Grove City Airport;41,1460278;-80,16775;1371;-5;A;America/New_York
28;2A0;Mark Anton Airport;35,48625;-84,9310833;718;-5;A;America/New_York
29;2B2;Plum Island Airport;42,7953611;-70,8394444;11;-5;A;America/New_York
30;2G2;Jefferson County Airpark;40,3602179;-80,7008742;1196;-5;A;America/New_York
31;2G9;Somerset County Airport;40,0388708;-79,0149951;2275;-5;A;America/New_York
32;2H0;Shelby County Airport;39,410556;-88,845556;550;-6;A;America/Chicago
33;2J9;Quincy Municipal Airport;30,5978708;-84,557425;225;-5;A;America/New_York
34;369;Atmautluak Airport;60,866667;-162,273056;18;-9;A;America/Anchorage
35;36U;Heber City Municipal Airport;40,4818056;-111,4288056;5637;-7;A;America/Denver
36;38W;Lynden Airport;48,9558961;-122,4581183;106;-8;A;America/Los_Angeles
37;3D2;Ephraim-Gibraltar Airport;45,1354167;-87,1879444;773;-6;A;America/Chicago
38;3G3;Wadsworth Municipal;41,0031572;-81,7564401;974;-5;A;America/New_York
39;3G4;Ashland County Airport;40,9029722;-82,2556389;1206;-5;A;America/New_York
40;3J1;Ridgeland Airport;32,4934167;-80,99175;79;-5;A;America/New_York
41;3W2;Put-in-Bay Airport;41,3521;-82,497;595;-5;A;America/New_York
